user_id,title,status
4683,Weekend in Tokyo,Completed
3965,Tour of Barcelona,Completed
1100,Деловая поездка в Риме,Planned
1446,Tour of Paris,Planned
5039,Путешествие в Берлине,Active
1480,Экскурсия в Праге,Active
2747,Деловая поездка в Сочи,Completed
44,Треккинг в Сочи,Planned
274,Holiday in Vienna,Planned
3702,Tour of Vienna,Planned
5855,Exploration of Prague,Completed
6657,Выходные в Петербурге,Planned
3339,Путешествие в Алтае,Planned
3079,Деловая поездка в Токио,Planned
4384,Tour of New York,Active
1287,Треккинг в Токио,Completed
5975,Holiday in Rome,Active
9869,Треккинг в Стамбуле,Planned
9460,Holiday in Vienna,Completed
1245,Exploration of London,Planned
8501,Vacation in London,Active
2914,Путешествие в Риме,Active
5097,Exploration of Rome,Active
673,Business Trip to Bangkok,Planned
4231,Business Trip to Tokyo,Planned
9941,Business Trip to Tokyo,Completed
1685,Weekend in Amsterdam,Active
3968,Vacation in Amsterdam,Completed
1665,Треккинг в Алтае,Planned
3166,Отпуск в Сочи,Completed
1444,Отпуск в Алтае,Completed
5839,Отпуск в Риме,Planned
639,Деловая поездка в Сочи,Planned
7225,Holiday in Prague,Planned
778,Holiday in London,Planned
8996,Деловая поездка в Алтае,Active
7081,Деловая поездка в Алтае,Completed
4974,Треккинг в Праге,Completed
9792,Business Trip to London,Completed
9797,Путешествие в Париже,Active
1345,Holiday in Rome,Planned
1715,Holiday in London,Completed
6235,Vacation in Paris,Planned
8626,Business Trip to Vienna,Planned
2024,Путешествие в Казани,Completed
2064,Отпуск в Дубае,Completed
5831,Tour of Barcelona,Completed
6243,Exploration of London,Completed
500,Holiday in Tokyo,Active
1415,Vacation in New York,Active
2280,Holiday in Vienna,Completed
5763,Путешествие в Токио,Completed
806,Business Trip to Barcelona,Planned
7591,Weekend in Bangkok,Planned
8083,Weekend in Berlin,Active
2001,Деловая поездка в Риме,Planned
3052,Vacation in New York,Completed
8385,Holiday in Paris,Completed
2416,Exploration of London,Planned
6228,Треккинг в Париже,Planned
2981,Выходные в Алтае,Completed
7817,Выходные в Праге,Completed
5589,Треккинг в Париже,Planned
1367,Holiday in Amsterdam,Active
7138,Экскурсия в Сочи,Planned
1537,Weekend in Vienna,Completed
7069,Business Trip to Bangkok,Active
8698,Exploration of Dubai,Completed
6241,Экскурсия в Стамбуле,Completed
3894,Выходные в Дубае,Completed
6828,Business Trip to Amsterdam,Planned
1445,Holiday in Berlin,Active
150,Tour of Amsterdam,Planned
7328,Vacation in Amsterdam,Completed
3512,Business Trip to New York,Planned
4201,Exploration of Amsterdam,Completed
5287,Exploration of Barcelona,Completed
9332,Отпуск в Стамбуле,Completed
2000,Треккинг в Праге,Planned
5926,Выходные в Барселоне,Active
9643,Отпуск в Праге,Active
3524,Exploration of New York,Completed
2066,Tour of Dubai,Planned
9120,Треккинг в Токио,Active
8663,Tour of New York,Planned
2446,Business Trip to New York,Completed
8763,Business Trip to Bangkok,Completed
8791,Vacation in Bangkok,Planned
4022,Отпуск в Казани,Completed
8426,Треккинг в Праге,Planned
6921,Выходные в Дубае,Active
303,Tour of Tokyo,Planned
9039,Деловая поездка в Праге,Planned
5333,Tour of New York,Planned
3786,Путешествие в Риме,Completed
5282,Holiday in Prague,Planned
2600,Holiday in Amsterdam,Active
8806,Weekend in Rome,Completed
1055,Weekend in Bangkok,Planned
2564,Деловая поездка в Риме,Completed
1931,Exploration of Dubai,Active
5483,Треккинг в Казани,Planned
5215,Деловая поездка в Дубае,Active
1829,Tour of Bangkok,Active
3893,Vacation in Paris,Active
3385,Треккинг в Барселоне,Planned
1807,Путешествие в Париже,Planned
5363,Holiday in Vienna,Planned
4601,Треккинг в Сочи,Completed
3523,Экскурсия в Стамбуле,Planned
6252,Отпуск в Стамбуле,Completed
4163,Экскурсия в Париже,Completed
8293,Weekend in Paris,Completed
3221,Exploration of Paris,Planned
5467,Tour of Prague,Planned
8635,Экскурсия в Петербурге,Planned
5668,Деловая поездка в Казани,Completed
5654,Путешествие в Казани,Planned
7167,Деловая поездка в Праге,Completed
6602,Business Trip to Dubai,Planned
